user_id,ad_id,bid_price_idr,bid_date
60,46,92547380,2023-03-24
8,16,11620794,2022-07-27
63,38,81232121,2023-03-25
61,32,82713322,2022-11-24
62,3,50680856,2022-07-01
38,15,21090764,2022-09-12
14,46,75455510,2022-02-12
82,37,87896960,2022-04-26
6,37,27169262,2022-02-20
10,13,88797290,2022-09-18
71,23,89054310,2022-04-17
7,6,33329630,2023-01-18
82,37,69018248,2022-08-21
29,42,12807314,2022-03-03
74,38,52961439,2023-02-23
20,18,90590590,2022-08-16
86,10,24098002,2023-03-02
62,20,7820793,2022-03-06
71,10,73024075,2022-05-08
12,23,98863033,2023-02-15
19,3,77458083,2022-05-16
78,3,75786528,2023-04-23
24,21,44877526,2022-09-23
97,23,77882670,2022-11-22
25,16,77379590,2022-02-08
83,23,71959939,2022-07-13
44,32,93242467,2023-03-09
63,40,49952086,2022-11-15
82,48,54633426,2023-02-15
54,48,21299723,2023-03-15
58,42,10400619,2022-08-31
73,10,87548643,2022-03-08
50,16,28647262,2023-03-05
47,6,11142513,2023-01-02
8,27,52769608,2022-08-30
83,40,61497802,2022-07-04
94,3,21340702,2023-04-07
57,19,24184668,2022-01-31
91,42,45981094,2022-05-10
72,18,58938469,2022-05-04
41,40,6822719,2022-09-10
72,16,91022477,2022-08-08
5,10,18514264,2022-11-07
33,6,76415015,2022-01-24
15,10,95174334,2022-11-08
20,42,56125524,2022-07-26
98,23,75198904,2022-11-22
16,18,66758128,2022-11-29
5,46,5955071,2023-01-09
13,23,60903735,2022-12-20
49,20,93127122,2022-07-18
60,16,94767385,2023-01-20
30,40,43204495,2022-05-06
58,37,19139279,2023-01-31
24,3,25309785,2022-05-05
51,48,56421311,2022-01-26
62,30,50696369,2022-03-20
2,20,96902043,2022-05-22
48,6,74512318,2023-04-01
41,46,48841525,2022-06-24
67,15,81816887,2022-10-06
28,23,68388077,2022-06-01
5,40,27719936,2022-09-14
48,48,44221709,2022-03-30
8,13,33703250,2023-02-10
26,42,99253147,2022-11-27
44,42,22695698,2022-05-05
85,30,62573304,2022-12-10
48,21,53095013,2022-06-28
14,20,19229116,2022-05-23
55,37,46511393,2022-08-19
42,30,81761121,2022-07-20
76,21,99754820,2022-08-08
91,16,91715176,2023-02-24
56,20,47203373,2022-02-28
68,19,80934110,2022-09-06
61,15,26596391,2022-02-08
77,3,40716655,2023-04-03
11,10,59203954,2022-12-25
31,48,26097475,2023-04-06
47,40,63714596,2022-08-06
10,13,22952837,2022-03-19
42,18,82414779,2022-03-02
29,19,90509662,2022-01-02
94,40,66245344,2023-02-18
66,32,74073457,2022-09-29
49,20,75255372,2022-05-08
36,38,18378005,2022-04-09
21,21,63920521,2023-02-28
27,23,47033978,2022-02-07
97,15,91202891,2022-03-13
34,32,37123792,2023-01-14
91,38,98806633,2023-02-06
10,42,47953101,2022-01-01
10,21,90435348,2023-02-07
1,10,42506413,2022-06-10
5,18,27733797,2022-05-10
37,38,72012272,2022-02-15
30,37,6279156,2023-02-20
93,13,63542758,2022-08-13
